"","year","age","maritl","education","region","jobclass","health","health_ins","logwage","wage","race_cat","high_wage"
"71",2004,58,2,2,2,2,2,1,4.54406804435028,94.0727147457005,0,1
"72",2006,31,1,2,2,1,2,2,4.39794000867204,81.2832532842527,0,1
"73",2006,25,1,2,2,1,2,1,4.39794000867204,81.2832532842527,0,1
"74",2006,32,1,3,2,2,2,1,4.61278385671974,100.764272842107,0,1
"75",2009,40,1,1,2,2,2,1,4.54406804435028,94.0727147457005,1,1
"76",2003,44,2,5,2,2,2,2,4.60205999132796,99.6894636984864,0,1
"77",2003,60,2,4,2,1,2,1,5.59198011410292,268.266292012557,0,2
"78",2006,23,1,1,2,1,1,1,4.39794000867204,81.2832532842527,0,1
"79",2003,63,2,2,2,2,2,2,4.73239375982297,113.567089569751,0,1
"80",2008,44,1,1,2,1,1,2,4.47712125471966,87.9810327856054,0,1
"82",2004,61,2,3,2,1,2,1,4.67024585307412,106.723977625299,0,1
"83",2009,55,2,5,2,2,2,2,4.19033169817029,66.0446942318056,0,1
"84",2003,24,1,1,2,1,1,2,3.94200805302231,51.521956314716,0,1
"85",2007,42,3,2,2,1,2,1,4.44715803134222,85.3839403789827,0,1
"86",2006,25,2,2,2,2,2,1,4.34242268082221,76.8936025176112,0,1
"87",2004,34,4,2,2,1,2,2,4.50514997831991,90.4819133566401,0,1
"88",2009,53,2,1,2,2,2,2,4.22063101944809,68.0764282889521,0,1
"89",2009,53,2,4,2,2,2,1,4.8750612633917,130.982177377461,0,2
"91",2004,47,2,4,2,2,2,1,4.87691031134463,131.224593755096,0,2
"92",2003,46,2,2,2,1,2,1,4.60205999132796,99.6894636984864,0,1
"93",2003,33,4,1,2,1,1,1,4.34242268082221,76.8936025176112,0,1
"94",2005,34,2,5,2,2,2,1,4.68124123737559,107.903923866876,0,1
"95",2006,22,1,2,2,1,1,2,4.39794000867204,81.2832532842527,0,1
"96",2009,74,2,2,2,1,2,1,4.60205999132796,99.6894636984864,0,1
"97",2003,40,2,3,2,2,1,1,4.5910646070265,98.5993438603892,1,1
"98",2006,45,2,4,2,2,2,1,5.30102999566398,200.543262324662,0,2
"101",2009,62,2,4,2,2,2,1,4.77815125038364,118.884359339886,1,1
"102",2008,37,2,4,2,2,2,1,4.79934054945358,121.430313822622,0,1
"103",2004,54,2,2,2,2,1,1,4.7160033436348,111.720849360989,0,1
"104",2005,34,2,3,2,1,2,2,4.23044892137827,68.7480877337669,0,1
"105",2008,50,1,4,2,2,2,1,4.74036268949424,114.475713290347,0,1
"106",2006,46,4,3,2,1,1,1,4.55630250076729,95.2307125669819,0,1
"107",2007,41,2,1,2,1,2,2,4.47712125471966,87.9810327856054,0,1
"108",2003,63,4,3,2,1,1,1,4.16316137497702,64.2743972206327,1,1
"109",2007,38,2,3,2,1,1,1,4.85733249643127,128.680488220624,0,1
"110",2006,35,2,3,2,1,2,1,4.74036268949424,114.475713290347,0,1
"111",2009,29,2,4,2,2,1,1,4.72427586960079,112.6488963421,0,1
"112",2008,66,2,1,2,1,2,1,4.39794000867204,81.2832532842527,0,1
"113",2004,37,2,2,2,2,1,1,4.32935719413155,75.8954848228103,0,1
"114",2006,39,2,2,2,2,2,1,4.719720651334,112.136922992214,1,1
"115",2003,42,2,2,2,1,2,2,4.44715803134222,85.3839403789827,0,1
"116",2007,51,4,2,2,1,2,1,4.54406804435028,94.0727147457005,0,1
"118",2006,51,2,5,2,1,2,1,5.17609125905568,176.989650489877,0,2
"119",2008,38,2,5,2,1,1,1,5.62321723414596,276.778413321176,0,2
"120",2005,49,2,2,2,2,2,1,4.6232492903979,101.82435207568,0,1
"121",2006,42,2,2,2,2,2,2,4.51851393987789,91.6992261117042,0,1
"122",2009,43,5,1,2,2,1,2,4.46239799789896,86.6951548289402,0,1
"123",2006,38,2,4,2,2,2,1,5.09342168516223,162.946460744664,0,2
"125",2009,57,2,3,2,1,1,1,4.55630250076729,95.2307125669819,0,1
"126",2005,25,1,2,2,1,1,2,4.20411998265593,66.9616443217359,0,1
"127",2004,49,2,4,2,1,1,1,4.8766796104192,131.194323611687,0,2
"128",2004,41,2,1,2,1,2,1,4.50514997831991,90.4819133566401,0,1
"129",2009,38,2,2,2,1,2,1,4.74036268949424,114.475713290347,0,1
"130",2003,61,2,5,2,1,2,1,4.37106786227174,79.1280844956297,0,1
"131",2007,49,4,2,2,1,1,1,4.65006456117768,104.591737924918,0,1
"132",2008,52,4,5,2,2,2,1,4.88649072517248,132.487821126123,0,2
"133",2007,43,2,5,2,2,2,1,4.95424250943933,141.77517233318,0,2
"134",2008,60,2,4,2,2,2,1,4.81291335664286,123.089699847943,0,1
"136",2004,21,1,2,2,2,2,2,4.02118929906994,55.7673905084923,0,1
"137",2009,61,2,4,2,1,2,1,4.67209785793572,106.921814091211,0,1
"138",2007,32,2,5,2,2,2,1,4.77815125038364,118.884359339886,1,1
"139",2004,58,2,2,2,2,1,1,4.47712125471966,87.9810327856054,0,1
"140",2003,35,1,2,2,2,2,1,4.48784512011144,88.9296066367913,0,1
"141",2004,26,1,2,2,2,2,1,4.39794000867204,81.2832532842527,1,1
"142",2006,32,1,2,2,1,2,2,4.54406804435028,94.0727147457005,1,1
"143",2003,37,2,2,2,2,2,1,4.67209785793572,106.921814091211,0,1
"145",2005,51,1,2,2,1,1,2,4.17609125905568,65.1108537153447,0,1
"146",2004,44,4,5,2,2,1,1,4.79239168949825,120.589436530402,0,1
"148",2004,60,2,2,2,2,2,1,4.86332286012046,129.453644576625,0,2
"149",2007,40,2,4,2,2,2,1,5.17609125905568,176.989650489877,0,2
"150",2004,35,1,1,2,2,2,2,4.07918124604763,59.0970640815891,0,1
"151",2007,35,2,5,2,2,2,2,4.54406804435028,94.0727147457005,0,1
"152",2008,47,2,2,2,1,2,1,4.90308998699194,134.705375118879,0,2
"153",2003,43,1,4,2,2,2,1,4.39794000867204,81.2832532842527,0,1
"154",2003,33,2,1,2,1,1,1,4.39794000867204,81.2832532842527,0,1
"155",2003,60,4,5,2,1,2,1,5.03342375548695,153.457515308961,0,2
"157",2005,53,2,2,2,2,2,2,4.31806333496276,75.0431540173515,0,1
"158",2004,55,2,3,2,2,2,1,4.86923171973098,130.220832358777,0,2
"159",2003,57,2,2,2,2,1,2,4.65321251377534,104.921506533664,1,1
"160",2005,64,2,4,2,2,1,2,3.90308998699194,49.5553381215226,0,1
"161",2007,43,2,2,2,1,1,1,4.81954393554187,123.908567597957,0,1
"162",2008,35,2,3,2,2,2,1,4.81291335664286,123.089699847943,1,1
"163",2008,54,2,2,2,2,2,2,4.35869609957381,78.155161407934,0,1
"164",2007,45,2,2,2,2,1,1,4.30102999566398,73.7757432746946,0,1
"166",2007,48,2,4,2,2,1,2,4.84509804001426,127.115743812184,0,1
"168",2004,46,2,2,2,1,2,1,4.43546212055982,84.39111474778,0,1
"169",2009,55,2,1,2,1,2,1,4.44715803134222,85.3839403789827,0,1
"170",2006,51,2,3,2,1,2,1,4.85733249643127,128.680488220624,0,1
"171",2005,49,2,3,2,1,2,1,4.25527250510331,70.4760196469445,0,1
"172",2008,34,1,3,2,1,2,1,4.34242268082221,76.8936025176112,0,1
"173",2007,53,2,3,2,1,2,2,5,148.413159102577,0,2
"174",2004,40,2,3,2,1,2,1,5,148.413159102577,0,2
"175",2009,50,2,3,2,1,2,1,5.17026171539496,175.960883130401,0,2
"176",2006,37,4,1,2,2,1,1,4.5910646070265,98.5993438603892,0,1
"177",2003,39,2,3,2,1,2,1,4.97772360528885,145.143601176911,0,2
"178",2004,52,2,4,2,1,1,1,4.60205999132796,99.6894636984864,0,1
"179",2003,50,2,2,2,2,2,1,4.94939000664491,141.08887439127,0,2
"180",2006,48,2,4,2,1,2,1,4.81291335664286,123.089699847943,0,1
"181",2006,47,2,2,2,1,2,1,4.86332286012046,129.453644576625,0,2
"182",2005,27,2,4,2,1,2,1,4.7160033436348,111.720849360989,0,1
"183",2006,39,2,2,2,1,2,1,4.64345267648619,103.90247060316,0,1
"184",2009,44,2,2,2,2,1,1,4.77815125038364,118.884359339886,1,1
"185",2003,37,2,3,2,1,2,1,5.02118929906994,151.591484239814,1,2
"186",2006,52,2,2,2,1,1,2,4.6232492903979,101.82435207568,0,1
"189",2006,25,2,2,2,1,1,2,4.60205999132796,99.6894636984864,1,1
"190",2005,31,1,4,2,2,2,2,4.54406804435028,94.0727147457005,0,1
"191",2004,58,2,3,2,1,1,1,5.02530586526477,152.216806827106,0,2
"192",2005,30,2,4,2,2,2,1,4.65321251377534,104.921506533664,0,1
"193",2004,27,2,1,2,1,1,1,4.17609125905568,65.1108537153447,0,1
"194",2003,40,4,2,2,1,2,1,4.55630250076729,95.2307125669819,0,1
"195",2006,55,2,5,2,1,2,1,5.15836249209525,173.879493310012,0,2
"197",2008,48,2,2,2,1,1,2,4.74036268949424,114.475713290347,0,1
"199",2005,25,1,3,2,1,2,1,4.49415459401844,89.4924795180001,0,1
"200",2004,40,2,3,2,1,2,1,4.79239168949825,120.589436530402,0,1
"201",2006,27,2,1,2,2,1,2,4.30102999566398,73.7757432746946,0,1
"202",2006,44,2,2,2,2,2,1,4.84509804001426,127.115743812184,0,1
"203",2006,49,2,3,2,2,2,1,4.77815125038364,118.884359339886,0,1
"204",2003,22,1,3,2,1,1,2,3.54406804435028,34.6074177301288,0,1
"205",2007,45,2,3,2,1,1,1,4.74036268949424,114.475713290347,0,1
"206",2007,33,2,3,2,1,2,2,4.44715803134222,85.3839403789827,0,1
"207",2007,63,2,5,2,2,2,1,5.76312762749814,318.342430056529,1,2
"208",2006,49,1,4,2,1,2,1,4.95424250943933,141.77517233318,1,2
"209",2005,39,1,5,2,2,2,1,4.8750612633917,130.982177377461,0,2
"211",2005,29,1,5,2,2,2,1,4.8750612633917,130.982177377461,0,2
"212",2006,37,2,2,2,1,2,1,4.31806333496276,75.0431540173515,0,1
"213",2008,35,2,5,2,2,1,1,5.04336227802113,154.990260276812,0,2
"214",2009,46,2,2,2,1,1,1,4.65321251377534,104.921506533664,0,1
"215",2008,58,2,4,2,1,2,1,4.29207877211666,73.118306923864,0,1
"216",2003,39,2,5,2,1,2,1,4.81291335664286,123.089699847943,0,1
"217",2008,41,2,4,2,2,2,1,5.06069784035361,157.700527725737,0,2
"218",2008,29,2,4,2,2,2,1,4.39794000867204,81.2832532842527,1,1
"219",2009,37,2,4,2,2,1,1,4.67521907955274,107.256062128429,0,1
"220",2009,62,2,2,2,2,1,2,4.36921585741014,78.9816745162994,0,1
"221",2008,27,1,2,2,1,2,1,4.30102999566398,73.7757432746946,1,1
"222",2003,37,2,2,2,1,1,1,4.54406804435028,94.0727147457005,0,1
"224",2004,36,2,3,2,2,2,1,5.17609125905568,176.989650489877,0,2
"226",2003,46,2,3,2,2,2,1,4.60205999132796,99.6894636984864,0,1
"227",2009,26,1,3,2,1,2,2,4.54406804435028,94.0727147457005,0,1
"228",2006,43,2,1,2,2,2,1,4.55630250076729,95.2307125669819,0,1
"229",2007,36,2,2,2,2,2,1,4.84509804001426,127.115743812184,0,1
"230",2003,54,5,3,2,2,1,1,4.60205999132796,99.6894636984864,0,1
"231",2003,62,2,2,2,1,2,1,4.56110138364906,95.6888119067371,0,1
"232",2006,40,2,2,2,1,2,1,4.69897000433602,109.833985642199,0,1
"233",2006,53,2,3,2,1,2,1,4.77815125038364,118.884359339886,0,1
"234",2007,48,2,5,2,2,2,1,5.17609125905568,176.989650489877,0,2
"235",2004,23,2,4,2,1,2,2,4.11394335230684,61.1875264339915,0,1
"236",2009,34,2,2,2,1,2,1,4.39794000867204,81.2832532842527,0,1
"237",2004,43,2,4,2,2,2,2,5.5467412584381,256.400649562425,0,2
"238",2006,55,2,2,2,2,1,1,4.39794000867204,81.2832532842527,0,1
"239",2007,59,1,2,2,2,2,1,4.39794000867204,81.2832532842527,0,1
"240",2007,60,2,2,2,2,2,2,4.02118929906994,55.7673905084923,0,1
"241",2009,49,1,2,2,1,2,1,4.32221929473392,75.3556793180091,0,1
"243",2006,31,4,2,2,1,2,2,3.77815125038364,43.7351116779821,0,1
"244",2004,34,1,4,2,2,1,1,4.74036268949424,114.475713290347,0,1
"245",2005,26,1,5,2,2,2,1,4.74036268949424,114.475713290347,0,1
"246",2007,22,1,2,2,1,2,2,4.39794000867204,81.2832532842527,0,1
"247",2004,40,2,2,2,2,1,2,4.22788670461367,68.5721657022738,0,1
"248",2009,41,2,3,2,2,2,1,4.69897000433602,109.833985642199,0,1
"249",2006,36,1,3,2,1,2,1,4.57978359661681,97.4932940453934,1,1
"250",2007,38,2,1,2,1,2,2,4.13353890837022,62.3983547205685,0,1
"251",2003,48,2,2,2,1,2,2,4.57978359661681,97.4932940453934,0,1
"252",2006,47,2,3,2,2,2,1,4.90308998699194,134.705375118879,0,2
"253",2005,47,5,1,2,1,1,2,4.11394335230684,61.1875264339915,0,1
"254",2007,35,2,4,2,2,1,2,4.77815125038364,118.884359339886,0,1
"256",2004,40,2,3,2,2,2,1,4.69897000433602,109.833985642199,0,1
"258",2008,57,2,4,2,1,2,1,4.30102999566398,73.7757432746946,0,1
"259",2008,56,2,4,2,1,2,1,4.95424250943933,141.77517233318,0,2
"260",2009,73,2,1,2,1,1,2,4.50514997831991,90.4819133566401,0,1
"261",2007,29,1,2,2,1,1,1,4.30102999566398,73.7757432746946,0,1
"263",2009,30,1,2,2,1,2,1,4.69897000433602,109.833985642199,0,1
"264",2008,29,2,2,2,1,2,1,4.51851393987789,91.6992261117042,0,1
"265",2004,36,2,3,2,2,2,2,4.55630250076729,95.2307125669819,0,1
"266",2009,39,2,5,2,2,2,1,5.05307844348342,156.503510882633,0,2
"267",2007,48,2,4,2,2,2,1,4.65321251377534,104.921506533664,0,1
"268",2006,45,2,4,2,1,2,1,4.60205999132796,99.6894636984864,1,1
"269",2004,50,2,4,2,1,1,2,4,54.5981500331442,0,1
"270",2003,42,2,4,2,2,2,1,3.47712125471966,32.3664131748549,0,1
"271",2007,58,2,3,2,1,1,2,4.77815125038364,118.884359339886,0,1
"272",2007,48,2,2,2,1,2,1,4.69897000433602,109.833985642199,0,1
"273",2003,48,2,4,2,1,2,1,4.69897000433602,109.833985642199,0,1
"274",2005,45,2,3,2,2,2,1,4.77815125038364,118.884359339886,0,1
"275",2007,41,4,3,2,1,2,1,4.70757017609794,110.782650276254,0,1
"276",2008,27,1,2,2,1,2,1,4.53857373380686,93.5572673479306,0,1
"277",2004,44,2,2,2,2,2,1,4.69897000433602,109.833985642199,0,1
"278",2003,32,2,4,2,2,2,1,4.77815125038364,118.884359339886,0,1
"279",2006,46,2,1,2,2,2,1,4.77815125038364,118.884359339886,0,1
"280",2005,52,2,2,2,2,1,2,3.95424250943932,52.1561711699147,1,1
"281",2003,22,1,3,2,1,2,2,3.77815125038364,43.7351116779821,0,1
"282",2004,53,3,2,2,1,2,1,4.76342799356294,117.146816914805,0,1
"283",2008,34,2,5,2,1,1,1,4.77815125038364,118.884359339886,0,1
"284",2009,38,2,2,2,1,2,1,5,148.413159102577,0,2
"285",2009,42,2,1,2,2,2,1,4.6232492903979,101.82435207568,0,1
"286",2005,25,1,3,2,2,2,1,4.54406804435028,94.0727147457005,1,1
"287",2004,29,1,3,2,1,2,1,4.46239799789896,86.6951548289402,0,1
"288",2005,28,2,5,2,2,2,1,4.95424250943933,141.77517233318,0,2
"289",2005,46,2,4,2,1,2,1,4.20411998265593,66.9616443217359,0,1
"290",2007,55,2,5,2,2,2,1,4.77815125038364,118.884359339886,1,1
"291",2004,56,2,2,2,1,1,2,4.66124460895933,105.767639622758,0,1
"292",2005,41,4,2,2,2,1,1,4.77815125038364,118.884359339886,1,1
"293",2009,61,2,5,2,2,2,2,5.17609125905568,176.989650489877,0,2
"294",2003,47,2,2,2,2,2,1,4.17609125905568,65.1108537153447,0,1
"295",2006,52,2,3,2,1,2,1,4.44715803134222,85.3839403789827,0,1
"296",2004,27,2,2,2,1,2,2,4.27875360095283,72.1504556815713,0,1
"297",2007,33,1,3,2,2,2,1,4.49136169383427,89.2428846644714,1,1
"298",2003,58,1,2,2,2,1,1,4.17609125905568,65.1108537153447,0,1
"299",2005,27,2,4,2,1,2,1,4.98227123303957,145.805163374625,0,2
"300",2009,52,5,2,2,1,2,1,4.47712125471966,87.9810327856054,1,1
"301",2003,45,2,5,2,1,2,2,3.7160033436348,41.0998036301194,0,1
"302",2003,22,1,2,2,2,2,1,4.22530928172586,68.3956538035455,0,1
"303",2005,25,1,3,2,1,1,1,4.39794000867204,81.2832532842527,0,1
"304",2004,25,1,2,2,1,2,1,4.30102999566398,73.7757432746946,0,1
"305",2005,41,2,1,2,1,2,1,4.8750612633917,130.982177377461,1,2
"306",2006,54,5,4,2,1,2,1,5,148.413159102577,0,2
"307",2007,23,2,2,2,1,2,1,4.39724458101039,81.226746312023,0,1
"308",2006,36,1,5,2,1,2,1,4.14612803567824,63.1888610037461,0,1
"309",2004,31,5,3,2,1,1,1,4.54406804435028,94.0727147457005,0,1
"310",2006,52,2,2,2,2,1,1,4.52891670027766,92.6581301668597,0,1
"311",2007,46,2,2,2,2,1,2,4.34242268082221,76.8936025176112,1,1
"312",2007,45,2,2,2,1,1,1,4.77815125038364,118.884359339886,0,1
"313",2009,40,2,2,2,1,1,2,4.38021124171161,79.8549003093467,0,1
"315",2007,42,2,4,2,2,2,1,4.89762709129044,133.971500070695,0,2
"316",2007,41,2,4,2,2,2,1,4.83250891270624,125.525498433836,0,1
"318",2005,24,4,2,2,1,2,1,4.27875360095283,72.1504556815713,0,1
"319",2006,24,1,3,2,1,2,2,4.77815125038364,118.884359339886,0,1
"320",2008,51,2,2,2,2,1,2,4.25527250510331,70.4760196469445,0,1
"321",2004,41,2,2,2,1,2,2,4.84509804001426,127.115743812184,0,1
"322",2009,42,1,4,2,2,2,1,4.74036268949424,114.475713290347,0,1
"323",2005,30,1,4,2,1,2,1,4.47712125471966,87.9810327856054,0,1
"325",2008,23,1,2,2,1,2,1,4.43136376415899,84.0459576539924,0,1
"326",2003,60,4,4,2,2,2,2,4.44715803134222,85.3839403789827,0,1
"328",2008,41,1,2,2,2,2,1,4.70757017609794,110.782650276254,0,1
"329",2003,80,2,2,2,2,1,1,4.38021124171161,79.8549003093467,0,1
"330",2005,53,2,2,2,2,2,1,4.57978359661681,97.4932940453934,0,1
"331",2004,40,1,2,2,1,2,2,5.14612803567824,171.765132627508,0,2
"332",2009,35,2,3,2,1,1,1,4.92348752840002,137.481247831663,0,2
"333",2009,55,2,1,2,1,1,1,4.32221929473392,75.3556793180091,0,1
"334",2008,24,1,2,2,2,2,1,4.30102999566398,73.7757432746946,0,1
"335",2007,39,2,4,2,2,2,1,5,148.413159102577,0,2
"336",2003,30,2,5,2,1,2,1,4.55630250076729,95.2307125669819,0,1
"337",2005,68,2,2,2,1,1,1,4.47712125471966,87.9810327856054,0,1
"338",2004,54,2,2,2,2,1,1,4.69897000433602,109.833985642199,1,1
"339",2008,27,1,4,2,1,2,2,4.39794000867204,81.2832532842527,0,1
"340",2005,34,2,2,2,1,2,1,4.77815125038364,118.884359339886,0,1
"341",2004,53,2,5,2,2,1,1,4.84509804001426,127.115743812184,0,1
"342",2004,48,2,5,2,2,2,2,4.44715803134222,85.3839403789827,1,1
"343",2005,59,2,2,2,1,2,1,4.39794000867204,81.2832532842527,0,1
"344",2004,30,2,3,2,1,2,2,4.77815125038364,118.884359339886,0,1
"345",2007,45,2,5,2,2,2,1,5.09691001300806,163.515863976238,0,2
"348",2007,43,2,5,2,2,2,1,5.64100585131578,281.745970551857,0,2
"349",2003,30,1,5,2,2,2,1,4.92941892571429,138.299126920883,1,2
"350",2005,57,2,4,2,2,2,1,5.17609125905568,176.989650489877,0,2
"351",2004,53,2,4,2,2,1,1,4.91907809237607,136.876367635184,0,2
"352",2009,42,2,4,2,2,2,1,5.23044892137827,186.876677628007,0,2
"353",2005,23,1,2,2,1,1,2,4.50514997831991,90.4819133566401,0,1
"354",2009,58,2,2,2,1,1,2,4.44715803134222,85.3839403789827,0,1
"355",2005,43,2,1,2,1,2,1,4.97772360528885,145.143601176911,0,2
"356",2003,33,4,5,2,2,2,1,4.79239168949825,120.589436530402,0,1
"357",2004,56,2,4,2,2,2,1,4.6232492903979,101.82435207568,0,1
"358",2006,37,2,4,2,1,2,2,4.69019608002851,108.874525834712,1,1
"359",2009,41,4,5,2,1,2,2,3.6534054906645,38.6059145209601,0,1
"360",2007,33,2,3,2,2,2,1,4.53147891704226,92.8958447894966,0,1
"361",2007,50,1,5,2,2,2,1,4.83884909073726,126.323880709786,0,1
"362",2003,43,2,5,2,2,2,1,5.25527250510331,191.573683548412,0,2
"363",2004,53,2,4,2,1,2,1,5.04921802267018,155.900506146767,0,2
"364",2005,37,3,3,2,2,2,1,4.47712125471966,87.9810327856054,0,1
"365",2006,20,1,3,2,2,2,2,4.07918124604763,59.0970640815891,1,1
"366",2003,26,1,3,2,1,2,1,4.30102999566398,73.7757432746946,0,1
"367",2003,29,4,4,2,2,2,2,4.50514997831991,90.4819133566401,0,1
"368",2008,57,2,4,2,2,2,1,4.77815125038364,118.884359339886,0,1
"369",2009,47,2,3,2,2,2,1,5.02118929906994,151.591484239814,0,2
"370",2004,54,2,5,2,1,2,2,5.60688524128857,272.294783220064,0,2
"371",2007,38,2,1,2,1,1,2,4.57978359661681,97.4932940453934,0,1
"372",2006,23,1,3,2,1,2,2,4.2211533219547,68.111994065327,0,1
"373",2004,31,2,2,2,2,2,1,4.84509804001426,127.115743812184,0,1
"374",2004,43,2,4,2,2,2,1,5.60688524128857,272.294783220064,0,2
"375",2003,33,2,5,2,2,1,2,4.7160033436348,111.720849360989,0,1
"376",2004,48,2,2,2,1,1,1,4.84509804001426,127.115743812184,0,1
"377",2008,33,2,2,2,1,2,1,4.47712125471966,87.9810327856054,0,1
"378",2009,52,2,4,2,2,2,1,4.74036268949424,114.475713290347,0,1
"379",2008,30,1,3,2,2,2,2,4.24551266781415,69.7915308454408,1,1
"380",2004,44,2,2,2,1,2,1,4.54406804435028,94.0727147457005,0,1
"381",2004,38,2,2,2,2,2,1,4.8463371121298,127.273347006486,0,1
"382",2008,51,2,2,2,1,2,1,5.07918124604763,160.642475408263,0,2
"383",2007,47,2,3,2,1,2,1,5.14612803567824,171.765132627508,0,2
"384",2005,28,2,4,2,2,1,1,4.95424250943933,141.77517233318,0,2
"385",2004,52,4,3,2,2,2,1,4.7481880270062,115.375038556391,0,1
"386",2004,23,1,1,2,1,1,2,4.27875360095283,72.1504556815713,0,1
"387",2003,65,2,1,2,1,1,2,4.30102999566398,73.7757432746946,0,1
"388",2005,27,1,4,2,1,2,1,4.84509804001426,127.115743812184,0,1
"389",2004,33,2,1,2,2,2,2,3.04139268515822,20.9343779401018,0,1
"390",2008,49,2,2,2,1,2,1,4.38021124171161,79.8549003093467,0,1
"391",2008,27,1,3,2,1,1,1,4.63346845557959,102.870246933215,0,1
"392",2008,48,4,2,2,1,1,1,4.7481880270062,115.375038556391,0,1
